Language Pair,Finetuning Language Pair,Relative BLEU Change
co-en,tr-en,-0.662170305114
cs-en,tr-en,-0.591717649332
cy-en,tr-en,-0.690559379871
da-en,tr-en,-0.469381643652
de-en,tr-en,-0.36808063214
el-en,tr-en,-0.34248098544
eo-en,tr-en,-0.515037248513
es-en,tr-en,-0.274752528613
et-en,tr-en,-0.876863909065
eu-en,tr-en,-0.843560452284
fa-en,tr-en,-0.467919725047
fi-en,tr-en,-0.820329297533
fr-en,tr-en,-0.301918312158
fy-en,tr-en,-0.746583337154
ga-en,tr-en,-0.713614540244
gd-en,tr-en,-0.818262790564
gl-en,tr-en,-0.270132198034
gu-en,tr-en,-0.700007720416
ha-en,tr-en,-0.82623001041
haw-en,tr-en,-0.796583240098
hi-en,tr-en,-0.393422347709
hmn-en,tr-en,-0.596627863782
hr-en,tr-en,-0.691451574484
ht-en,tr-en,-0.785628855205
hu-en,tr-en,-0.784232510795
hy-en,tr-en,-0.641364643062
id-en,tr-en,-0.619438328847
ig-en,tr-en,-0.724016179863
is-en,tr-en,-0.678656414198
it-en,tr-en,-0.340528434812
iw-en,tr-en,-0.70205940447
ja-en,tr-en,-0.362112103331
jw-en,tr-en,-0.812881706054
ka-en,tr-en,-0.674457259684
kk-en,tr-en,-0.380443452178
km-en,tr-en,-0.65802225217
kn-en,tr-en,-0.764524798402
ko-en,tr-en,-0.371663649212
ku-en,tr-en,-0.814874950942
ky-en,tr-en,-0.493683094192
lb-en,tr-en,-0.689252657335
lo-en,tr-en,-0.779102155204
lt-en,tr-en,-0.642441620144
lv-en,tr-en,-0.686157061475
mg-en,tr-en,-0.763493972847
mi-en,tr-en,-0.727032598089
mk-en,tr-en,-0.294664833276
ml-en,tr-en,-0.922491337739
mn-en,tr-en,-0.568484436052
mr-en,tr-en,-0.663312069247
ms-en,tr-en,-0.626642939289
mt-en,tr-en,-0.609720569885
my-en,tr-en,-0.673713763403
ne-en,tr-en,-0.765371954357
nl-en,tr-en,-0.244570670922
no-en,tr-en,-0.453649314386
ny-en,tr-en,-0.761112675387
pa-en,tr-en,-0.656466698131
pl-en,tr-en,-0.462061830496
ps-en,tr-en,-0.745611289306
pt-en,tr-en,-0.257156952394
ro-en,tr-en,-0.477808692034
ru-en,tr-en,-0.276450276542
sd-en,tr-en,-0.913821024767
si-en,tr-en,-0.834375483308
sk-en,tr-en,-0.617220177494
sl-en,tr-en,-0.772649469265
sm-en,tr-en,-0.847039494396
sn-en,tr-en,-0.860743201604
so-en,tr-en,-0.859659865181
sq-en,tr-en,-0.535724859474
sr-en,tr-en,-0.594966453622
st-en,tr-en,-0.853990116957
su-en,tr-en,-0.781248319175
sv-en,tr-en,-0.352048195757
sw-en,tr-en,-0.846319779185
ta-en,tr-en,-0.808746306992
te-en,tr-en,-0.704840450803
tg-en,tr-en,-0.629809515965
th-en,tr-en,-0.541323912071
tl-en,tr-en,-0.681223027609
tr-en,tr-en,0.123724379465
uk-en,tr-en,-0.331395219648
ur-en,tr-en,-0.582556948708
uz-en,tr-en,-0.645688180525
vi-en,tr-en,-0.456463567054
xh-en,tr-en,-0.919812408778
yi-en,tr-en,-0.476135474698
yo-en,tr-en,-0.814579634184
zh-en,tr-en,-0.380511461542
zu-en,tr-en,-0.888617094138
af-en,ha-en,-0.629596254963
am-en,ha-en,-0.926953250823
ar-en,ha-en,-0.856313667813
az-en,ha-en,-0.823378027406
be-en,ha-en,-0.870204384216
bg-en,ha-en,-0.74934162162
bn-en,ha-en,-0.930635017704
bs-en,ha-en,-0.872473249029
ca-en,ha-en,-0.579245530899
ceb-en,ha-en,-0.798095591885
co-en,ha-en,-0.751041131818
cs-en,ha-en,-0.849786755857
cy-en,ha-en,-0.882012785933
da-en,ha-en,-0.671191837459
de-en,ha-en,-0.581500767788
el-en,ha-en,-0.70545695999
eo-en,ha-en,-0.804023385798
es-en,ha-en,-0.50152725583
et-en,ha-en,-0.90239500926
eu-en,ha-en,-0.887067690319
fa-en,ha-en,-0.810972374144
fi-en,ha-en,-0.877047284623
fr-en,ha-en,-0.536777661109
fy-en,ha-en,-0.822326561833
ga-en,ha-en,-0.850228740216
gd-en,ha-en,-0.868748070176
gl-en,ha-en,-0.539344895519
gu-en,ha-en,-0.907435504678
ha-en,ha-en,-0.102949767765
haw-en,ha-en,-0.779682158961
hi-en,ha-en,-0.829960837629
hmn-en,ha-en,-0.742282114729
hr-en,ha-en,-0.875996580903
ht-en,ha-en,-0.88315655736
hu-en,ha-en,-0.844312000448
hy-en,ha-en,-0.889497258169
id-en,ha-en,-0.763482201121
ig-en,ha-en,-0.778142588489
is-en,ha-en,-0.783754465644
it-en,ha-en,-0.586051124172
iw-en,ha-en,-0.930556433212
ja-en,ha-en,-0.865391407514
jw-en,ha-en,-0.867655142392
ka-en,ha-en,-0.869114862057
kk-en,ha-en,-0.882312692058
km-en,ha-en,-0.902902753996
kn-en,ha-en,-0.918879839295
ko-en,ha-en,-0.806639003213
ku-en,ha-en,-0.847146900504
ky-en,ha-en,-0.903036555238
lb-en,ha-en,-0.786853910205
lo-en,ha-en,-0.850741092404
lt-en,ha-en,-0.898437975091
lv-en,ha-en,-0.902292445422
mg-en,ha-en,-0.819865401375
mi-en,ha-en,-0.777245162156
mk-en,ha-en,-0.75323552407
ml-en,ha-en,-0.957646840248
mn-en,ha-en,-0.858810933675
mr-en,ha-en,-0.930783148086
ms-en,ha-en,-0.749495092399
mt-en,ha-en,-0.85459821568
my-en,ha-en,-0.913572647504
ne-en,ha-en,-0.929990266651
nl-en,ha-en,-0.575980201903
no-en,ha-en,-0.64317072377
ny-en,ha-en,-0.775752401821
pa-en,ha-en,-0.928020963775
pl-en,ha-en,-0.810059173565
ps-en,ha-en,-0.933516038254
pt-en,ha-en,-0.529169145063
ro-en,ha-en,-0.697224325424
ru-en,ha-en,-0.77124121011
sd-en,ha-en,-0.944145221387
si-en,ha-en,-0.950877419104
sk-en,ha-en,-0.856356041618
sl-en,ha-en,-0.882006086485
sm-en,ha-en,-0.822492889581
